year,match,home,OTHER,goal_difference,half_time_goal_difference,L_goals,O_goals,L_half_time_goals,O_half_time_goals,L_shots,O_shots,L_shots_on_target,O_shots_on_target,L_corners,O_corners,L_fouls_committed,O_fouls_committed,L_yellow_cards,O_yellow_cards,L_red_cards,O_red_cards,points
16-17,26,0,Leicester,-2.0,-2.0,1.0,3.0,0.0,2.0,17.0,13.0,7.0,7.0,12.0,5.0,5.0,8.0,0.0,0.0,0.0,0.0,49.0
16-17,27,1,Arsenal,2.0,2.0,3.0,1.0,2.0,0.0,18.0,7.0,7.0,3.0,9.0,3.0,8.0,15.0,1.0,2.0,0.0,0.0,52.0
16-17,28,1,Burnley,1.0,0.0,2.0,1.0,1.0,1.0,10.0,11.0,3.0,1.0,11.0,1.0,12.0,16.0,2.0,2.0,0.0,0.0,55.0
16-17,29,0,Man City,0.0,0.0,1.0,1.0,0.0,0.0,13.0,13.0,4.0,3.0,8.0,9.0,7.0,14.0,3.0,3.0,0.0,0.0,56.0
16-17,30,1,Everton,2.0,1.0,3.0,1.0,2.0,1.0,10.0,9.0,6.0,4.0,2.0,3.0,17.0,10.0,1.0,3.0,0.0,0.0,59.0
16-17,31,1,Bournemouth,0.0,0.0,2.0,2.0,1.0,1.0,20.0,7.0,8.0,2.0,7.0,2.0,11.0,8.0,1.0,1.0,0.0,0.0,60.0
16-17,32,0,Stoke,1.0,-1.0,2.0,1.0,0.0,1.0,14.0,9.0,4.0,4.0,8.0,5.0,11.0,7.0,2.0,0.0,0.0,0.0,63.0
16-17,33,0,West Brom,1.0,1.0,1.0,0.0,1.0,0.0,15.0,7.0,2.0,2.0,4.0,4.0,9.0,15.0,1.0,3.0,0.0,0.0,66.0
16-17,34,1,Crystal Palace,-1.0,0.0,1.0,2.0,1.0,1.0,14.0,7.0,1.0,3.0,4.0,3.0,8.0,10.0,1.0,2.0,0.0,0.0,66.0
16-17,35,0,Watford,1.0,1.0,1.0,0.0,1.0,0.0,12.0,9.0,8.0,2.0,5.0,3.0,9.0,11.0,1.0,3.0,0.0,0.0,69.0
16-17,36,1,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,8.0,0.0,3.0,6.0,9.0,4.0,1.0,3.0,0.0,0.0,70.0
16-17,37,0,West Ham,4.0,1.0,4.0,0.0,1.0,0.0,26.0,10.0,11.0,3.0,6.0,4.0,10.0,5.0,0.0,2.0,0.0,0.0,73.0
16-17,38,1,Middlesbrough,3.0,1.0,3.0,0.0,1.0,0.0,25.0,9.0,10.0,3.0,3.0,3.0,13.0,8.0,0.0,1.0,0.0,0.0,76.0
15-16,1,0,Stoke,1.0,0.0,1.0,0.0,0.0,0.0,8.0,7.0,3.0,1.0,5.0,3.0,16.0,9.0,4.0,2.0,0.0,0.0,3.0
15-16,2,1,Bournemouth,1.0,1.0,1.0,0.0,1.0,0.0,18.0,13.0,2.0,2.0,6.0,8.0,11.0,18.0,1.0,4.0,0.0,0.0,6.0
15-16,3,0,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,15.0,19.0,8.0,5.0,8.0,7.0,13.0,2.0,4.0,1.0,0.0,0.0,7.0
15-16,4,1,West Ham,-3.0,-2.0,0.0,3.0,0.0,2.0,13.0,12.0,1.0,5.0,5.0,7.0,17.0,11.0,3.0,1.0,1.0,1.0,7.0
15-16,5,0,Man United,-2.0,0.0,1.0,3.0,0.0,0.0,8.0,9.0,4.0,3.0,4.0,4.0,11.0,6.0,2.0,1.0,0.0,0.0,7.0
15-16,6,1,Norwich,0.0,0.0,1.0,1.0,0.0,0.0,23.0,7.0,7.0,2.0,6.0,2.0,4.0,13.0,1.0,2.0,0.0,0.0,8.0
15-16,7,1,Aston Villa,1.0,1.0,3.0,2.0,1.0,0.0,21.0,10.0,12.0,4.0,11.0,1.0,8.0,13.0,0.0,0.0,0.0,0.0,11.0
15-16,8,0,Everton,0.0,0.0,1.0,1.0,1.0,1.0,13.0,14.0,4.0,4.0,11.0,5.0,19.0,10.0,3.0,3.0,0.0,0.0,12.0
15-16,9,0,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,12.0,13.0,3.0,4.0,6.0,8.0,11.0,15.0,2.0,1.0,0.0,0.0,13.0
15-16,10,1,Southampton,0.0,0.0,1.0,1.0,0.0,0.0,15.0,8.0,2.0,3.0,10.0,7.0,8.0,11.0,1.0,0.0,0.0,1.0,14.0
15-16,11,0,Chelsea,2.0,0.0,3.0,1.0,1.0,1.0,16.0,8.0,7.0,2.0,7.0,1.0,21.0,9.0,4.0,1.0,0.0,0.0,17.0
15-16,12,1,Crystal Palace,-1.0,0.0,1.0,2.0,1.0,1.0,22.0,9.0,4.0,4.0,14.0,6.0,7.0,6.0,1.0,2.0,0.0,0.0,17.0
15-16,13,0,Man City,3.0,2.0,4.0,1.0,3.0,1.0,14.0,11.0,9.0,3.0,5.0,11.0,13.0,5.0,3.0,0.0,0.0,0.0,20.0
15-16,14,1,Swansea,1.0,0.0,1.0,0.0,0.0,0.0,10.0,8.0,2.0,0.0,8.0,7.0,12.0,6.0,3.0,1.0,0.0,0.0,23.0
15-16,15,0,Newcastle,-2.0,0.0,0.0,2.0,0.0,0.0,10.0,6.0,1.0,1.0,7.0,2.0,10.0,6.0,1.0,3.0,0.0,0.0,23.0
15-16,16,1,West Brom,0.0,0.0,2.0,2.0,1.0,1.0,28.0,4.0,8.0,2.0,4.0,4.0,7.0,10.0,0.0,0.0,0.0,0.0,24.0
15-16,17,0,Watford,-3.0,-2.0,0.0,3.0,0.0,2.0,12.0,6.0,4.0,5.0,9.0,7.0,9.0,6.0,0.0,1.0,0.0,0.0,24.0
15-16,18,1,Leicester,1.0,0.0,1.0,0.0,0.0,0.0,25.0,7.0,4.0,3.0,7.0,6.0,11.0,8.0,2.0,1.0,0.0,0.0,27.0
15-16,19,0,Sunderland,1.0,0.0,1.0,0.0,0.0,0.0,17.0,8.0,6.0,3.0,4.0,6.0,16.0,8.0,3.0,1.0,0.0,0.0,30.0
15-16,20,0,West Ham,-2.0,-1.0,0.0,2.0,0.0,1.0,23.0,18.0,2.0,10.0,9.0,3.0,8.0,11.0,1.0,1.0,0.0,0.0,30.0
15-16,21,1,Arsenal,0.0,0.0,3.0,3.0,2.0,2.0,22.0,14.0,6.0,5.0,9.0,3.0,9.0,7.0,2.0,0.0,0.0,0.0,31.0
15-16,22,1,Man United,-1.0,0.0,0.0,1.0,0.0,0.0,19.0,7.0,4.0,1.0,5.0,4.0,6.0,18.0,0.0,2.0,0.0,0.0,31.0
15-16,23,0,Norwich,1.0,-1.0,5.0,4.0,1.0,2.0,13.0,6.0,7.0,5.0,3.0,3.0,14.0,10.0,1.0,0.0,0.0,0.0,34.0
15-16,24,0,Leicester,-2.0,0.0,0.0,2.0,0.0,0.0,14.0,13.0,2.0,6.0,12.0,3.0,7.0,6.0,1.0,0.0,0.0,0.0,34.0
15-16,25,1,Sunderland,0.0,0.0,2.0,2.0,0.0,0.0,16.0,7.0,5.0,2.0,7.0,2.0,4.0,12.0,1.0,1.0,0.0,0.0,35.0
15-16,26,0,Aston Villa,6.0,2.0,6.0,0.0,2.0,0.0,11.0,6.0,9.0,1.0,6.0,0.0,9.0,10.0,1.0,3.0,0.0,0.0,38.0
15-16,27,1,Man City,3.0,2.0,3.0,0.0,2.0,0.0,11.0,4.0,7.0,2.0,3.0,2.0,14.0,14.0,0.0,1.0,0.0,0.0,41.0
15-16,28,0,Crystal Palace,1.0,0.0,2.0,1.0,0.0,0.0,19.0,14.0,5.0,4.0,6.0,6.0,16.0,12.0,2.0,1.0,1.0,0.0,44.0
15-16,29,0,Southampton,-1.0,2.0,2.0,3.0,2.0,0.0,18.0,16.0,9.0,5.0,5.0,3.0,13.0,10.0,3.0,1.0,0.0,0.0,44.0
15-16,30,1,Tottenham,0.0,0.0,1.0,1.0,0.0,0.0,15.0,18.0,7.0,5.0,12.0,9.0,11.0,11.0,2.0,0.0,0.0,0.0,45.0
15-16,31,1,Stoke,3.0,1.0,4.0,1.0,2.0,1.0,14.0,10.0,6.0,3.0,6.0,3.0,14.0,14.0,0.0,2.0,0.0,0.0,48.0
15-16,32,0,Bournemouth,1.0,2.0,2.0,1.0,2.0,0.0,19.0,18.0,6.0,5.0,4.0,5.0,9.0,9.0,0.0,0.0,0.0,0.0,51.0
15-16,33,1,Everton,4.0,2.0,4.0,0.0,2.0,0.0,37.0,3.0,13.0,0.0,9.0,1.0,8.0,11.0,1.0,1.0,0.0,1.0,54.0
15-16,34,1,Newcastle,0.0,2.0,2.0,2.0,2.0,0.0,13.0,6.0,4.0,3.0,5.0,4.0,8.0,17.0,1.0,1.0,0.0,0.0,55.0
15-16,35,0,Swansea,-2.0,-2.0,1.0,3.0,0.0,2.0,11.0,18.0,3.0,9.0,7.0,4.0,13.0,12.0,2.0,2.0,1.0,0.0,55.0
15-16,36,1,Watford,2.0,1.0,2.0,0.0,1.0,0.0,19.0,14.0,5.0,3.0,8.0,8.0,10.0,15.0,1.0,2.0,0.0,0.0,58.0
15-16,37,1,Chelsea,0.0,-1.0,1.0,1.0,0.0,1.0,28.0,13.0,9.0,7.0,7.0,3.0,11.0,12.0,3.0,1.0,0.0,0.0,59.0
15-16,38,0,West Brom,0.0,0.0,1.0,1.0,1.0,1.0,7.0,13.0,3.0,1.0,5.0,7.0,14.0,11.0,1.0,3.0,0.0,0.0,60.0
14-15,1,1,Southampton,1.0,1.0,2.0,1.0,1.0,0.0,12.0,12.0,5.0,6.0,2.0,6.0,8.0,11.0,1.0,2.0,0.0,0.0,3.0
14-15,2,0,Man City,-2.0,-1.0,1.0,3.0,0.0,1.0,11.0,9.0,3.0,4.0,7.0,6.0,7.0,13.0,1.0,1.0,0.0,0.0,3.0
14-15,3,0,Tottenham,3.0,1.0,3.0,0.0,1.0,0.0,17.0,7.0,8.0,1.0,3.0,7.0,11.0,14.0,4.0,0.0,0.0,0.0,6.0
14-15,4,1,Aston Villa,-1.0,-1.0,0.0,1.0,0.0,1.0,18.0,5.0,1.0,1.0,7.0,6.0,9.0,10.0,2.0,1.0,0.0,0.0,6.0
14-15,5,0,West Ham,-2.0,-1.0,1.0,3.0,1.0,2.0,11.0,13.0,5.0,7.0,5.0,7.0,11.0,16.0,1.0,4.0,0.0,0.0,6.0
14-15,6,1,Everton,0.0,0.0,1.0,1.0,0.0,0.0,24.0,11.0,8.0,5.0,8.0,2.0,8.0,9.0,2.0,1.0,0.0,0.0,7.0
14-15,7,1,West Brom,1.0,1.0,2.0,1.0,1.0,0.0,19.0,8.0,7.0,4.0,5.0,5.0,12.0,15.0,2.0,2.0,0.0,0.0,10.0
14-15,8,0,QPR,1.0,0.0,3.0,2.0,0.0,0.0,15.0,15.0,5.0,6.0,2.0,7.0,15.0,10.0,3.0,2.0,0.0,0.0,13.0
14-15,9,1,Hull,0.0,0.0,0.0,0.0,0.0,0.0,17.0,6.0,4.0,3.0,14.0,1.0,12.0,17.0,3.0,2.0,0.0,0.0,14.0
14-15,10,0,Newcastle,-1.0,0.0,0.0,1.0,0.0,0.0,6.0,14.0,3.0,3.0,2.0,7.0,8.0,13.0,3.0,4.0,0.0,0.0,14.0
14-15,11,1,Chelsea,-1.0,0.0,1.0,2.0,1.0,1.0,12.0,15.0,4.0,5.0,5.0,7.0,9.0,12.0,2.0,5.0,0.0,0.0,14.0
14-15,12,0,Crystal Palace,-2.0,0.0,1.0,3.0,1.0,1.0,12.0,15.0,1.0,5.0,3.0,4.0,10.0,21.0,2.0,1.0,0.0,0.0,14.0
14-15,13,1,Stoke,1.0,0.0,1.0,0.0,0.0,0.0,16.0,13.0,3.0,4.0,5.0,5.0,11.0,9.0,0.0,3.0,0.0,0.0,17.0
14-15,14,0,Leicester,2.0,0.0,3.0,1.0,1.0,1.0,11.0,20.0,3.0,4.0,4.0,7.0,10.0,11.0,2.0,1.0,0.0,1.0,20.0
14-15,15,1,Sunderland,0.0,0.0,0.0,0.0,0.0,0.0,15.0,7.0,2.0,1.0,5.0,7.0,12.0,15.0,1.0,3.0,0.0,0.0,21.0
14-15,16,0,Man United,-3.0,-2.0,0.0,3.0,0.0,2.0,19.0,11.0,9.0,6.0,7.0,2.0,14.0,13.0,3.0,4.0,0.0,0.0,21.0
14-15,17,1,Arsenal,0.0,0.0,2.0,2.0,1.0,1.0,27.0,7.0,10.0,3.0,10.0,6.0,6.0,14.0,0.0,3.0,1.0,0.0,22.0
14-15,18,0,Burnley,1.0,0.0,1.0,0.0,0.0,0.0,10.0,16.0,3.0,0.0,2.0,8.0,5.0,7.0,1.0,0.0,0.0,0.0,25.0
14-15,19,1,Swansea,3.0,1.0,4.0,1.0,1.0,0.0,21.0,11.0,11.0,4.0,6.0,3.0,8.0,5.0,1.0,0.0,0.0,0.0,28.0
14-15,20,1,Leicester,0.0,2.0,2.0,2.0,2.0,0.0,18.0,16.0,6.0,3.0,4.0,5.0,13.0,10.0,2.0,2.0,0.0,0.0,29.0
14-15,21,0,Sunderland,1.0,1.0,1.0,0.0,1.0,0.0,21.0,5.0,4.0,1.0,6.0,6.0,11.0,12.0,4.0,1.0,0.0,1.0,32.0
14-15,22,0,Aston Villa,2.0,1.0,2.0,0.0,1.0,0.0,12.0,15.0,5.0,4.0,5.0,9.0,11.0,13.0,1.0,1.0,0.0,0.0,35.0
14-15,23,1,West Ham,2.0,0.0,2.0,0.0,0.0,0.0,21.0,7.0,7.0,2.0,5.0,7.0,12.0,12.0,1.0,1.0,0.0,0.0,38.0
14-15,24,0,Everton,0.0,0.0,0.0,0.0,0.0,0.0,17.0,6.0,6.0,1.0,6.0,3.0,7.0,11.0,1.0,4.0,0.0,0.0,39.0
14-15,25,1,Tottenham,1.0,0.0,3.0,2.0,1.0,1.0,16.0,14.0,7.0,5.0,5.0,7.0,13.0,17.0,3.0,6.0,0.0,0.0,42.0
14-15,26,0,Southampton,2.0,1.0,2.0,0.0,1.0,0.0,6.0,13.0,4.0,5.0,1.0,6.0,14.0,11.0,3.0,2.0,0.0,0.0,45.0
14-15,27,1,Man City,1.0,0.0,2.0,1.0,1.0,1.0,11.0,8.0,5.0,1.0,3.0,0.0,8.0,16.0,1.0,3.0,0.0,0.0,48.0
14-15,28,1,Burnley,2.0,1.0,2.0,0.0,1.0,0.0,20.0,9.0,8.0,1.0,6.0,5.0,8.0,14.0,0.0,1.0,0.0,0.0,51.0
14-15,29,0,Swansea,1.0,0.0,1.0,0.0,0.0,0.0,16.0,10.0,5.0,3.0,5.0,4.0,16.0,13.0,3.0,0.0,0.0,0.0,54.0
14-15,30,1,Man United,-1.0,-1.0,1.0,2.0,0.0,1.0,7.0,6.0,1.0,4.0,2.0,3.0,14.0,17.0,2.0,2.0,1.0,0.0,54.0
14-15,31,0,Arsenal,-3.0,-3.0,1.0,4.0,0.0,3.0,13.0,16.0,2.0,10.0,5.0,6.0,9.0,7.0,0.0,1.0,1.0,0.0,54.0
14-15,32,1,Newcastle,2.0,1.0,2.0,0.0,1.0,0.0,14.0,10.0,6.0,3.0,6.0,6.0,8.0,17.0,2.0,0.0,0.0,1.0,57.0
14-15,33,0,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,22.0,10.0,5.0,4.0,4.0,2.0,11.0,12.0,0.0,1.0,0.0,0.0,58.0
14-15,34,0,Hull,-1.0,-1.0,0.0,1.0,0.0,1.0,12.0,7.0,9.0,4.0,7.0,7.0,10.0,10.0,0.0,2.0,0.0,0.0,58.0
14-15,35,1,QPR,1.0,1.0,2.0,1.0,1.0,0.0,25.0,10.0,8.0,2.0,9.0,6.0,9.0,18.0,2.0,3.0,0.0,1.0,61.0
14-15,36,0,Chelsea,0.0,0.0,1.0,1.0,1.0,1.0,15.0,8.0,4.0,3.0,4.0,6.0,11.0,13.0,3.0,4.0,0.0,0.0,62.0
14-15,37,1,Crystal Palace,-2.0,0.0,1.0,3.0,1.0,1.0,18.0,15.0,3.0,6.0,4.0,5.0,10.0,17.0,2.0,3.0,0.0,0.0,62.0
14-15,38,0,Stoke,-5.0,-5.0,1.0,6.0,0.0,5.0,13.0,15.0,4.0,9.0,9.0,3.0,4.0,13.0,2.0,4.0,0.0,0.0,62.0
13-14,1,1,Stoke,1.0,1.0,1.0,0.0,1.0,0.0,26.0,10.0,11.0,4.0,12.0,6.0,11.0,11.0,1.0,1.0,0.0,0.0,3.0
13-14,2,0,Aston Villa,1.0,1.0,1.0,0.0,1.0,0.0,5.0,17.0,1.0,3.0,2.0,8.0,8.0,9.0,3.0,3.0,0.0,0.0,6.0
13-14,3,1,Man United,1.0,1.0,1.0,0.0,1.0,0.0,10.0,10.0,5.0,4.0,2.0,7.0,15.0,15.0,2.0,4.0,0.0,0.0,9.0
13-14,4,0,Swansea,0.0,1.0,2.0,2.0,2.0,1.0,12.0,17.0,5.0,8.0,7.0,3.0,10.0,7.0,3.0,2.0,0.0,0.0,10.0
13-14,5,1,Southampton,-1.0,0.0,0.0,1.0,0.0,0.0,10.0,12.0,5.0,7.0,6.0,6.0,6.0,9.0,0.0,1.0,0.0,0.0,10.0
13-14,6,0,Sunderland,2.0,2.0,3.0,1.0,2.0,0.0,15.0,23.0,6.0,5.0,8.0,10.0,10.0,8.0,1.0,2.0,0.0,0.0,13.0
13-14,7,1,Crystal Palace,2.0,3.0,3.0,1.0,3.0,0.0,13.0,11.0,7.0,2.0,11.0,3.0,11.0,6.0,2.0,1.0,0.0,0.0,16.0
13-14,8,0,Newcastle,0.0,0.0,2.0,2.0,1.0,1.0,23.0,14.0,7.0,4.0,13.0,3.0,10.0,8.0,3.0,2.0,0.0,1.0,17.0
13-14,9,1,West Brom,3.0,2.0,4.0,1.0,2.0,0.0,18.0,15.0,7.0,3.0,3.0,9.0,14.0,11.0,0.0,2.0,0.0,0.0,20.0
13-14,10,0,Arsenal,-2.0,-1.0,0.0,2.0,0.0,1.0,12.0,12.0,4.0,7.0,5.0,3.0,7.0,11.0,1.0,2.0,0.0,0.0,20.0
13-14,11,1,Fulham,4.0,3.0,4.0,0.0,3.0,0.0,32.0,4.0,10.0,1.0,9.0,3.0,13.0,9.0,0.0,1.0,0.0,0.0,23.0
13-14,12,0,Everton,0.0,1.0,3.0,3.0,2.0,1.0,11.0,18.0,5.0,12.0,7.0,6.0,15.0,16.0,3.0,4.0,0.0,0.0,24.0
13-14,13,0,Hull,-2.0,0.0,1.0,3.0,1.0,1.0,9.0,12.0,4.0,4.0,6.0,2.0,16.0,10.0,0.0,2.0,0.0,0.0,24.0
13-14,14,1,Norwich,4.0,3.0,5.0,1.0,3.0,0.0,28.0,14.0,12.0,5.0,4.0,0.0,10.0,6.0,3.0,1.0,0.0,0.0,27.0
13-14,15,1,West Ham,3.0,1.0,4.0,1.0,1.0,0.0,32.0,8.0,9.0,1.0,8.0,4.0,9.0,12.0,0.0,3.0,0.0,1.0,30.0
13-14,16,0,Tottenham,5.0,2.0,5.0,0.0,2.0,0.0,21.0,9.0,10.0,0.0,9.0,2.0,15.0,17.0,0.0,3.0,0.0,1.0,33.0
13-14,17,1,Cardiff,2.0,3.0,3.0,1.0,3.0,0.0,27.0,10.0,7.0,3.0,9.0,5.0,11.0,13.0,2.0,0.0,0.0,0.0,36.0
13-14,18,0,Man City,-1.0,-1.0,1.0,2.0,1.0,2.0,12.0,20.0,5.0,6.0,6.0,7.0,9.0,10.0,3.0,1.0,0.0,0.0,36.0
13-14,19,0,Chelsea,-1.0,-1.0,1.0,2.0,1.0,2.0,8.0,11.0,4.0,5.0,2.0,4.0,17.0,17.0,1.0,4.0,0.0,0.0,36.0
13-14,20,1,Hull,2.0,1.0,2.0,0.0,1.0,0.0,17.0,10.0,6.0,0.0,3.0,4.0,15.0,15.0,1.0,2.0,0.0,0.0,39.0
13-14,21,0,Stoke,2.0,0.0,5.0,3.0,2.0,2.0,13.0,13.0,9.0,4.0,2.0,11.0,8.0,10.0,1.0,1.0,0.0,0.0,42.0
13-14,22,1,Aston Villa,0.0,-1.0,2.0,2.0,1.0,2.0,14.0,12.0,6.0,3.0,2.0,3.0,14.0,18.0,1.0,4.0,0.0,0.0,43.0
13-14,23,1,Everton,4.0,3.0,4.0,0.0,3.0,0.0,20.0,18.0,9.0,4.0,5.0,8.0,11.0,13.0,0.0,3.0,0.0,0.0,46.0
13-14,24,0,West Brom,0.0,1.0,1.0,1.0,1.0,0.0,12.0,12.0,3.0,4.0,4.0,3.0,15.0,13.0,2.0,4.0,0.0,0.0,47.0
13-14,25,1,Arsenal,4.0,4.0,5.0,1.0,4.0,0.0,22.0,11.0,12.0,6.0,6.0,6.0,14.0,14.0,1.0,2.0,0.0,0.0,50.0
13-14,26,0,Fulham,1.0,0.0,3.0,2.0,1.0,1.0,21.0,10.0,7.0,3.0,5.0,7.0,9.0,7.0,3.0,4.0,0.0,0.0,53.0
13-14,27,1,Swansea,1.0,1.0,4.0,3.0,3.0,2.0,21.0,14.0,10.0,5.0,3.0,5.0,9.0,11.0,1.0,0.0,0.0,0.0,56.0
13-14,28,0,Southampton,3.0,1.0,3.0,0.0,1.0,0.0,12.0,13.0,5.0,2.0,6.0,3.0,6.0,10.0,2.0,1.0,0.0,0.0,59.0
13-14,29,0,Man United,3.0,1.0,3.0,0.0,1.0,0.0,17.0,13.0,7.0,1.0,4.0,3.0,12.0,13.0,4.0,1.0,0.0,1.0,62.0
13-14,30,0,Cardiff,3.0,0.0,6.0,3.0,2.0,2.0,19.0,9.0,9.0,3.0,6.0,4.0,11.0,14.0,3.0,2.0,0.0,0.0,65.0
13-14,31,1,Sunderland,1.0,1.0,2.0,1.0,1.0,0.0,21.0,12.0,7.0,4.0,3.0,4.0,5.0,15.0,0.0,2.0,0.0,0.0,68.0
13-14,32,1,Tottenham,4.0,2.0,4.0,0.0,2.0,0.0,11.0,15.0,5.0,4.0,5.0,7.0,9.0,9.0,0.0,2.0,0.0,0.0,71.0
13-14,33,0,West Ham,1.0,0.0,2.0,1.0,1.0,1.0,17.0,11.0,8.0,1.0,4.0,4.0,9.0,10.0,0.0,4.0,0.0,0.0,74.0
13-14,34,1,Man City,1.0,2.0,3.0,2.0,2.0,0.0,10.0,13.0,4.0,5.0,7.0,7.0,7.0,9.0,1.0,3.0,1.0,0.0,77.0
13-14,35,0,Norwich,1.0,2.0,3.0,2.0,2.0,0.0,14.0,13.0,6.0,5.0,3.0,8.0,10.0,16.0,2.0,3.0,0.0,0.0,80.0
