year,match,home,OTHER,goal_difference,half_time_goal_difference,L_goals,O_goals,L_half_time_goals,O_half_time_goals,L_shots,O_shots,L_shots_on_target,O_shots_on_target,L_corners,O_corners,L_fouls_committed,O_fouls_committed,L_yellow_cards,O_yellow_cards,L_red_cards,O_red_cards,points
06-07,18,0,Charlton,3.0,1.0,3.0,0.0,1.0,0.0,22.0,7.0,10.0,2.0,8.0,2.0,5.0,9.0,1.0,1.0,0.0,0.0,31.0
06-07,19,1,Watford,2.0,0.0,2.0,0.0,0.0,0.0,15.0,7.0,10.0,4.0,7.0,6.0,10.0,17.0,0.0,0.0,0.0,0.0,34.0
06-07,20,0,Blackburn,-1.0,0.0,0.0,1.0,0.0,0.0,18.0,8.0,12.0,4.0,5.0,3.0,6.0,13.0,2.0,3.0,0.0,0.0,34.0
06-07,21,0,Tottenham,1.0,1.0,1.0,0.0,1.0,0.0,10.0,9.0,5.0,3.0,3.0,2.0,21.0,5.0,0.0,0.0,0.0,0.0,37.0
06-07,22,1,Bolton,3.0,0.0,3.0,0.0,0.0,0.0,19.0,1.0,9.0,0.0,8.0,8.0,18.0,12.0,0.0,3.0,0.0,0.0,40.0
06-07,23,0,Watford,3.0,2.0,3.0,0.0,2.0,0.0,22.0,8.0,13.0,4.0,12.0,3.0,10.0,9.0,0.0,0.0,0.0,0.0,43.0
06-07,24,1,Chelsea,2.0,2.0,2.0,0.0,2.0,0.0,17.0,11.0,8.0,3.0,3.0,7.0,10.0,17.0,0.0,1.0,0.0,0.0,46.0
06-07,25,0,West Ham,1.0,0.0,2.0,1.0,0.0,0.0,15.0,13.0,9.0,6.0,9.0,4.0,8.0,11.0,1.0,1.0,0.0,0.0,49.0
06-07,26,1,Everton,0.0,0.0,0.0,0.0,0.0,0.0,25.0,6.0,10.0,4.0,6.0,4.0,13.0,18.0,0.0,3.0,0.0,0.0,50.0
06-07,27,0,Newcastle,-1.0,0.0,1.0,2.0,1.0,1.0,13.0,7.0,9.0,3.0,4.0,3.0,14.0,9.0,1.0,1.0,0.0,0.0,50.0
06-07,28,1,Sheffield United,4.0,2.0,4.0,0.0,2.0,0.0,8.0,6.0,4.0,2.0,5.0,1.0,12.0,9.0,0.0,2.0,0.0,0.0,53.0
06-07,29,1,Man United,-1.0,0.0,0.0,1.0,0.0,0.0,15.0,5.0,8.0,3.0,12.0,2.0,11.0,12.0,2.0,2.0,0.0,1.0,53.0
06-07,30,0,Aston Villa,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,3.0,3.0,6.0,2.0,12.0,11.0,3.0,2.0,0.0,0.0,54.0
06-07,31,1,Arsenal,3.0,2.0,4.0,1.0,2.0,0.0,12.0,11.0,7.0,3.0,2.0,7.0,17.0,8.0,1.0,3.0,0.0,0.0,57.0
06-07,32,0,Reading,1.0,1.0,2.0,1.0,1.0,0.0,4.0,8.0,3.0,4.0,6.0,7.0,16.0,10.0,1.0,2.0,0.0,0.0,60.0
06-07,33,0,Man City,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,3.0,1.0,4.0,4.0,15.0,12.0,2.0,1.0,0.0,0.0,61.0
06-07,34,1,Middlesbrough,2.0,0.0,2.0,0.0,0.0,0.0,18.0,5.0,7.0,2.0,8.0,2.0,8.0,13.0,0.0,1.0,0.0,0.0,64.0
06-07,35,1,Wigan,2.0,1.0,2.0,0.0,1.0,0.0,23.0,4.0,12.0,3.0,12.0,3.0,10.0,10.0,2.0,2.0,0.0,0.0,67.0
06-07,36,0,Portsmouth,-1.0,-2.0,1.0,2.0,0.0,2.0,11.0,9.0,4.0,7.0,6.0,7.0,7.0,12.0,1.0,1.0,0.0,0.0,67.0
06-07,37,0,Fulham,-1.0,0.0,0.0,1.0,0.0,0.0,9.0,7.0,5.0,5.0,14.0,4.0,15.0,17.0,2.0,2.0,0.0,1.0,67.0
06-07,38,1,Charlton,0.0,-1.0,2.0,2.0,0.0,1.0,22.0,8.0,7.0,4.0,9.0,2.0,5.0,12.0,0.0,0.0,0.0,0.0,68.0
05-06,1,0,Middlesbrough,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,7.0,2.0,0.0,5.0,11.0,17.0,3.0,2.0,0.0,1.0,1.0
05-06,2,1,Sunderland,1.0,1.0,1.0,0.0,1.0,0.0,15.0,2.0,6.0,0.0,5.0,5.0,8.0,20.0,2.0,3.0,0.0,1.0,4.0
05-06,3,0,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,6.0,7.0,4.0,4.0,13.0,16.0,1.0,1.0,0.0,0.0,5.0
05-06,4,1,Man United,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,3.0,1.0,4.0,2.0,24.0,15.0,2.0,2.0,0.0,0.0,6.0
05-06,5,0,Birmingham,0.0,0.0,2.0,2.0,0.0,0.0,14.0,4.0,6.0,4.0,7.0,3.0,14.0,14.0,3.0,2.0,0.0,1.0,7.0
05-06,6,1,Chelsea,-3.0,-1.0,1.0,4.0,1.0,2.0,11.0,7.0,5.0,5.0,4.0,2.0,15.0,17.0,1.0,3.0,0.0,0.0,7.0
05-06,7,1,Blackburn,1.0,0.0,1.0,0.0,0.0,0.0,19.0,4.0,5.0,1.0,9.0,2.0,8.0,22.0,0.0,3.0,0.0,1.0,10.0
05-06,8,0,Fulham,-2.0,-1.0,0.0,2.0,0.0,1.0,14.0,6.0,6.0,3.0,8.0,3.0,14.0,9.0,2.0,0.0,0.0,0.0,10.0
05-06,9,1,West Ham,2.0,1.0,2.0,0.0,1.0,0.0,17.0,4.0,9.0,2.0,10.0,5.0,15.0,13.0,2.0,0.0,0.0,0.0,13.0
05-06,10,0,Aston Villa,2.0,0.0,2.0,0.0,0.0,0.0,10.0,6.0,6.0,2.0,5.0,3.0,11.0,16.0,2.0,2.0,0.0,0.0,16.0
05-06,11,1,Portsmouth,3.0,2.0,3.0,0.0,2.0,0.0,15.0,7.0,11.0,5.0,7.0,6.0,7.0,8.0,1.0,1.0,0.0,0.0,19.0
05-06,12,0,Man City,1.0,0.0,1.0,0.0,0.0,0.0,8.0,3.0,6.0,1.0,4.0,6.0,13.0,13.0,2.0,0.0,0.0,0.0,22.0
05-06,13,0,Sunderland,2.0,2.0,2.0,0.0,2.0,0.0,15.0,8.0,11.0,4.0,3.0,3.0,10.0,15.0,2.0,0.0,1.0,0.0,25.0
05-06,14,1,Wigan,3.0,2.0,3.0,0.0,2.0,0.0,16.0,10.0,12.0,6.0,11.0,6.0,16.0,15.0,1.0,2.0,0.0,0.0,28.0
05-06,15,1,Middlesbrough,2.0,0.0,2.0,0.0,0.0,0.0,23.0,6.0,13.0,3.0,11.0,2.0,10.0,18.0,1.0,2.0,0.0,1.0,31.0
05-06,16,1,Newcastle,2.0,2.0,2.0,0.0,2.0,0.0,21.0,2.0,11.0,2.0,7.0,4.0,9.0,13.0,1.0,0.0,0.0,1.0,34.0
05-06,17,0,Everton,2.0,1.0,3.0,1.0,2.0,1.0,12.0,10.0,5.0,6.0,2.0,5.0,20.0,23.0,2.0,4.0,0.0,2.0,37.0
05-06,18,1,West Brom,1.0,0.0,1.0,0.0,0.0,0.0,27.0,4.0,13.0,0.0,10.0,1.0,8.0,12.0,0.0,0.0,0.0,0.0,40.0
05-06,19,0,Bolton,0.0,-1.0,2.0,2.0,0.0,1.0,15.0,12.0,7.0,7.0,5.0,3.0,14.0,16.0,3.0,2.0,0.0,0.0,41.0
05-06,20,1,Tottenham,1.0,0.0,1.0,0.0,0.0,0.0,16.0,6.0,12.0,2.0,10.0,7.0,8.0,12.0,0.0,1.0,0.0,1.0,44.0
05-06,21,0,Man United,-1.0,0.0,0.0,1.0,0.0,0.0,11.0,7.0,7.0,4.0,2.0,1.0,17.0,15.0,3.0,2.0,0.0,0.0,44.0
05-06,22,1,Birmingham,0.0,0.0,1.0,1.0,0.0,0.0,24.0,3.0,10.0,2.0,11.0,3.0,13.0,12.0,0.0,0.0,0.0,1.0,45.0
05-06,23,0,Chelsea,-2.0,-1.0,0.0,2.0,0.0,1.0,12.0,10.0,2.0,6.0,5.0,5.0,17.0,14.0,2.0,1.0,1.0,0.0,45.0
05-06,24,0,Charlton,-2.0,-2.0,0.0,2.0,0.0,2.0,13.0,6.0,5.0,2.0,10.0,1.0,13.0,12.0,2.0,2.0,0.0,0.0,45.0
05-06,25,0,Wigan,1.0,1.0,1.0,0.0,1.0,0.0,7.0,5.0,6.0,1.0,3.0,4.0,3.0,8.0,0.0,2.0,0.0,0.0,48.0
05-06,26,1,Arsenal,1.0,0.0,1.0,0.0,0.0,0.0,22.0,6.0,9.0,2.0,13.0,1.0,12.0,15.0,0.0,1.0,0.0,0.0,51.0
05-06,27,1,Man City,1.0,1.0,1.0,0.0,1.0,0.0,20.0,6.0,12.0,3.0,12.0,2.0,4.0,16.0,0.0,2.0,0.0,1.0,54.0
05-06,28,1,Charlton,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,10.0,1.0,12.0,5.0,5.0,14.0,1.0,1.0,0.0,0.0,55.0
05-06,29,0,Arsenal,-1.0,-1.0,1.0,2.0,0.0,1.0,8.0,11.0,3.0,4.0,0.0,5.0,18.0,8.0,2.0,0.0,1.0,0.0,55.0
05-06,30,1,Fulham,4.0,1.0,5.0,1.0,2.0,1.0,19.0,8.0,10.0,4.0,8.0,2.0,8.0,12.0,0.0,3.0,0.0,0.0,58.0
05-06,31,0,Newcastle,2.0,1.0,3.0,1.0,2.0,1.0,12.0,8.0,6.0,4.0,1.0,2.0,18.0,21.0,3.0,2.0,0.0,1.0,61.0
05-06,32,1,Everton,2.0,1.0,3.0,1.0,1.0,0.0,17.0,8.0,10.0,5.0,5.0,3.0,12.0,25.0,3.0,7.0,1.0,1.0,64.0
05-06,33,0,West Brom,2.0,2.0,2.0,0.0,2.0,0.0,13.0,8.0,4.0,4.0,4.0,1.0,8.0,11.0,0.0,0.0,0.0,0.0,67.0
05-06,34,1,Bolton,1.0,1.0,1.0,0.0,1.0,0.0,17.0,7.0,7.0,4.0,3.0,2.0,6.0,6.0,1.0,1.0,0.0,0.0,70.0
05-06,35,0,Blackburn,1.0,1.0,1.0,0.0,1.0,0.0,7.0,6.0,2.0,3.0,4.0,6.0,11.0,12.0,2.0,3.0,0.0,0.0,73.0
05-06,36,0,West Ham,1.0,1.0,2.0,1.0,1.0,0.0,13.0,11.0,7.0,7.0,3.0,6.0,7.0,11.0,0.0,0.0,1.0,1.0,76.0
05-06,37,1,Aston Villa,2.0,1.0,3.0,1.0,1.0,0.0,15.0,7.0,9.0,3.0,6.0,5.0,7.0,11.0,0.0,0.0,0.0,0.0,79.0
05-06,38,0,Portsmouth,2.0,0.0,3.0,1.0,0.0,0.0,8.0,6.0,4.0,4.0,6.0,5.0,11.0,5.0,0.0,1.0,0.0,0.0,82.0
04-05,1,0,Tottenham,0.0,1.0,1.0,1.0,1.0,0.0,16.0,14.0,8.0,7.0,8.0,3.0,11.0,17.0,1.0,3.0,0.0,0.0,1.0
04-05,2,1,Man City,1.0,-1.0,2.0,1.0,0.0,1.0,15.0,7.0,10.0,4.0,8.0,3.0,9.0,17.0,1.0,3.0,0.0,1.0,4.0
04-05,3,0,Bolton,-1.0,-1.0,0.0,1.0,0.0,1.0,7.0,10.0,2.0,8.0,2.0,5.0,14.0,15.0,0.0,2.0,0.0,0.0,4.0
04-05,4,1,West Brom,3.0,2.0,3.0,0.0,2.0,0.0,16.0,9.0,9.0,5.0,8.0,6.0,9.0,11.0,0.0,0.0,0.0,0.0,7.0
04-05,5,0,Man United,-1.0,-1.0,1.0,2.0,0.0,1.0,6.0,14.0,3.0,9.0,2.0,7.0,15.0,22.0,2.0,1.0,0.0,0.0,7.0
04-05,6,1,Norwich,3.0,2.0,3.0,0.0,2.0,0.0,20.0,2.0,12.0,1.0,4.0,2.0,10.0,12.0,1.0,0.0,0.0,0.0,10.0
04-05,7,0,Chelsea,-1.0,0.0,0.0,1.0,0.0,0.0,5.0,13.0,3.0,5.0,2.0,11.0,20.0,14.0,1.0,0.0,0.0,0.0,10.0
04-05,8,0,Fulham,2.0,-2.0,4.0,2.0,0.0,2.0,10.0,5.0,3.0,3.0,6.0,3.0,14.0,12.0,3.0,1.0,1.0,0.0,13.0
04-05,9,1,Charlton,2.0,0.0,2.0,0.0,0.0,0.0,17.0,3.0,7.0,1.0,12.0,0.0,9.0,11.0,0.0,1.0,0.0,0.0,16.0
04-05,10,0,Blackburn,0.0,-1.0,2.0,2.0,1.0,2.0,13.0,8.0,9.0,7.0,6.0,6.0,11.0,14.0,1.0,2.0,0.0,0.0,17.0
04-05,11,1,Birmingham,-1.0,0.0,0.0,1.0,0.0,0.0,17.0,6.0,8.0,1.0,4.0,5.0,19.0,17.0,3.0,1.0,0.0,0.0,17.0
04-05,12,1,Crystal Palace,1.0,1.0,3.0,2.0,2.0,1.0,18.0,4.0,5.0,4.0,7.0,1.0,13.0,17.0,1.0,3.0,0.0,0.0,20.0
04-05,13,0,Middlesbrough,-2.0,-1.0,0.0,2.0,0.0,1.0,17.0,14.0,10.0,6.0,5.0,3.0,10.0,14.0,2.0,3.0,0.0,0.0,20.0
04-05,14,1,Arsenal,1.0,1.0,2.0,1.0,1.0,0.0,11.0,3.0,7.0,2.0,6.0,0.0,6.0,16.0,0.0,2.0,0.0,0.0,23.0
04-05,15,0,Aston Villa,0.0,0.0,1.0,1.0,1.0,1.0,12.0,3.0,7.0,2.0,9.0,3.0,10.0,10.0,0.0,1.0,0.0,0.0,24.0
04-05,16,0,Everton,-1.0,0.0,0.0,1.0,0.0,0.0,16.0,6.0,5.0,2.0,7.0,2.0,14.0,12.0,3.0,2.0,0.0,0.0,24.0
04-05,17,1,Portsmouth,0.0,0.0,1.0,1.0,0.0,0.0,12.0,7.0,7.0,4.0,6.0,4.0,6.0,9.0,0.0,0.0,0.0,0.0,25.0
04-05,18,1,Newcastle,2.0,1.0,3.0,1.0,2.0,1.0,15.0,7.0,5.0,3.0,5.0,5.0,12.0,19.0,0.0,3.0,0.0,1.0,28.0
04-05,19,0,West Brom,5.0,1.0,5.0,0.0,1.0,0.0,16.0,2.0,8.0,1.0,11.0,4.0,13.0,12.0,0.0,0.0,0.0,1.0,31.0
04-05,20,1,Southampton,1.0,1.0,1.0,0.0,1.0,0.0,19.0,3.0,11.0,2.0,7.0,3.0,6.0,12.0,0.0,3.0,0.0,0.0,34.0
04-05,21,1,Chelsea,-1.0,0.0,0.0,1.0,0.0,0.0,14.0,8.0,7.0,7.0,3.0,2.0,14.0,16.0,2.0,2.0,0.0,0.0,34.0
04-05,22,0,Norwich,1.0,0.0,2.0,1.0,0.0,0.0,11.0,7.0,6.0,4.0,2.0,5.0,19.0,16.0,3.0,2.0,0.0,0.0,37.0
04-05,23,1,Man United,-1.0,-1.0,0.0,1.0,0.0,1.0,13.0,5.0,5.0,2.0,9.0,4.0,12.0,25.0,2.0,4.0,0.0,1.0,37.0
04-05,24,0,Southampton,-2.0,-2.0,0.0,2.0,0.0,2.0,11.0,11.0,2.0,7.0,3.0,6.0,12.0,10.0,2.0,1.0,0.0,0.0,37.0
04-05,25,0,Charlton,1.0,-1.0,2.0,1.0,0.0,1.0,19.0,4.0,7.0,3.0,7.0,3.0,15.0,11.0,0.0,0.0,0.0,0.0,40.0
04-05,26,1,Fulham,2.0,0.0,3.0,1.0,1.0,1.0,10.0,6.0,7.0,2.0,4.0,3.0,12.0,13.0,1.0,4.0,0.0,0.0,43.0
04-05,27,0,Birmingham,-2.0,-2.0,0.0,2.0,0.0,2.0,6.0,5.0,2.0,3.0,4.0,10.0,10.0,16.0,0.0,2.0,0.0,0.0,43.0
04-05,28,0,Newcastle,-1.0,0.0,0.0,1.0,0.0,0.0,6.0,13.0,3.0,4.0,4.0,5.0,16.0,11.0,2.0,2.0,0.0,0.0,43.0
04-05,29,1,Blackburn,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,2.0,2.0,11.0,3.0,12.0,13.0,1.0,1.0,0.0,0.0,44.0
04-05,30,1,Everton,1.0,2.0,2.0,1.0,2.0,0.0,15.0,4.0,8.0,2.0,5.0,1.0,13.0,15.0,1.0,4.0,1.0,0.0,47.0
04-05,31,1,Bolton,1.0,0.0,1.0,0.0,0.0,0.0,10.0,13.0,7.0,5.0,4.0,12.0,6.0,13.0,1.0,3.0,0.0,0.0,50.0
04-05,32,0,Man City,-1.0,0.0,0.0,1.0,0.0,0.0,6.0,11.0,1.0,8.0,2.0,5.0,11.0,8.0,1.0,1.0,0.0,0.0,50.0
04-05,33,1,Tottenham,0.0,0.0,2.0,2.0,1.0,1.0,18.0,9.0,7.0,6.0,12.0,3.0,5.0,7.0,0.0,0.0,0.0,0.0,51.0
04-05,34,0,Portsmouth,1.0,1.0,2.0,1.0,2.0,1.0,19.0,8.0,12.0,6.0,4.0,5.0,8.0,10.0,0.0,1.0,0.0,0.0,54.0
04-05,35,0,Crystal Palace,-1.0,-1.0,0.0,1.0,0.0,1.0,9.0,6.0,7.0,3.0,1.0,4.0,14.0,19.0,5.0,2.0,0.0,0.0,54.0
04-05,36,1,Middlesbrough,0.0,-1.0,1.0,1.0,0.0,1.0,12.0,6.0,6.0,3.0,7.0,4.0,10.0,20.0,2.0,3.0,0.0,0.0,55.0
04-05,37,0,Arsenal,-2.0,-2.0,1.0,3.0,0.0,2.0,11.0,11.0,6.0,8.0,4.0,1.0,10.0,13.0,2.0,0.0,0.0,0.0,55.0
04-05,38,1,Aston Villa,1.0,2.0,2.0,1.0,2.0,0.0,15.0,13.0,7.0,4.0,9.0,5.0,10.0,16.0,0.0,0.0,0.0,0.0,58.0
03-04,1,1,Chelsea,-1.0,-1.0,1.0,2.0,0.0,1.0,12.0,10.0,7.0,6.0,8.0,6.0,13.0,12.0,3.0,1.0,0.0,0.0,0.0
03-04,2,0,Aston Villa,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,9.0,9.0,9.0,8.0,7.0,16.0,1.0,0.0,0.0,0.0,1.0
03-04,3,1,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,22.0,9.0,10.0,4.0,8.0,5.0,20.0,27.0,2.0,5.0,0.0,0.0,2.0
03-04,4,0,Everton,3.0,1.0,3.0,0.0,1.0,0.0,18.0,11.0,11.0,5.0,5.0,9.0,17.0,22.0,3.0,3.0,0.0,0.0,5.0
03-04,5,0,Blackburn,2.0,0.0,3.0,1.0,1.0,1.0,21.0,8.0,14.0,5.0,10.0,5.0,11.0,13.0,2.0,2.0,0.0,1.0,8.0
03-04,6,1,Leicester,1.0,1.0,2.0,1.0,1.0,0.0,19.0,9.0,8.0,3.0,4.0,4.0,10.0,9.0,0.0,0.0,0.0,0.0,11.0
03-04,7,0,Charlton,-1.0,-1.0,2.0,3.0,1.0,2.0,17.0,14.0,9.0,5.0,5.0,7.0,9.0,11.0,1.0,2.0,0.0,0.0,11.0
03-04,8,1,Arsenal,-1.0,0.0,1.0,2.0,1.0,1.0,13.0,12.0,7.0,8.0,11.0,3.0,12.0,20.0,2.0,2.0,0.0,0.0,11.0
03-04,9,0,Portsmouth,-1.0,-1.0,0.0,1.0,0.0,1.0,13.0,10.0,7.0,6.0,3.0,5.0,10.0,22.0,2.0,2.0,0.0,0.0,11.0
03-04,10,1,Leeds,2.0,0.0,3.0,1.0,1.0,1.0,20.0,7.0,9.0,5.0,9.0,3.0,11.0,13.0,0.0,2.0,0.0,0.0,14.0
03-04,11,0,Fulham,1.0,0.0,2.0,1.0,1.0,1.0,10.0,10.0,6.0,6.0,8.0,4.0,10.0,13.0,1.0,1.0,0.0,1.0,17.0
03-04,12,1,Man United,-1.0,0.0,1.0,2.0,0.0,0.0,10.0,6.0,4.0,4.0,2.0,6.0,16.0,9.0,1.0,2.0,0.0,0.0,17.0
03-04,13,0,Middlesbrough,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,1.0,3.0,4.0,3.0,15.0,16.0,2.0,2.0,0.0,0.0,18.0
03-04,14,1,Birmingham,2.0,0.0,3.0,1.0,1.0,1.0,10.0,7.0,7.0,4.0,6.0,4.0,24.0,17.0,2.0,1.0,0.0,0.0,21.0
03-04,15,0,Newcastle,0.0,1.0,1.0,1.0,1.0,0.0,7.0,13.0,3.0,6.0,1.0,8.0,13.0,13.0,4.0,1.0,0.0,0.0,22.0
03-04,16,1,Southampton,-1.0,-1.0,1.0,2.0,0.0,1.0,18.0,8.0,10.0,4.0,9.0,5.0,6.0,8.0,0.0,0.0,0.0,0.0,22.0
03-04,17,1,Bolton,2.0,1.0,3.0,1.0,1.0,0.0,13.0,7.0,8.0,2.0,7.0,1.0,10.0,18.0,0.0,2.0,0.0,0.0,25.0
03-04,18,0,Man City,0.0,-1.0,2.0,2.0,0.0,1.0,11.0,16.0,9.0,8.0,7.0,7.0,14.0,6.0,2.0,1.0,0.0,0.0,26.0
03-04,19,0,Chelsea,1.0,1.0,1.0,0.0,1.0,0.0,4.0,9.0,1.0,2.0,3.0,8.0,9.0,15.0,2.0,0.0,1.0,0.0,29.0
03-04,20,1,Aston Villa,1.0,1.0,1.0,0.0,1.0,0.0,12.0,8.0,4.0,2.0,3.0,6.0,14.0,15.0,3.0,2.0,0.0,0.0,32.0
03-04,21,0,Tottenham,-1.0,-1.0,1.0,2.0,0.0,1.0,10.0,7.0,4.0,3.0,6.0,5.0,9.0,18.0,1.0,1.0,0.0,0.0,32.0
03-04,22,0,Wolves,0.0,1.0,1.0,1.0,1.0,0.0,14.0,9.0,10.0,6.0,5.0,7.0,16.0,14.0,1.0,2.0,0.0,0.0,33.0
03-04,23,1,Everton,0.0,0.0,0.0,0.0,0.0,0.0,21.0,6.0,9.0,4.0,8.0,3.0,7.0,11.0,0.0,1.0,0.0,0.0,34.0
03-04,24,0,Bolton,0.0,-1.0,2.0,2.0,0.0,1.0,11.0,12.0,6.0,6.0,5.0,3.0,15.0,15.0,2.0,3.0,0.0,0.0,35.0
03-04,25,1,Man City,1.0,1.0,2.0,1.0,1.0,0.0,12.0,6.0,7.0,3.0,6.0,3.0,7.0,8.0,0.0,0.0,0.0,0.0,38.0
03-04,26,0,Leeds,0.0,0.0,2.0,2.0,2.0,2.0,22.0,12.0,13.0,6.0,8.0,6.0,11.0,13.0,1.0,0.0,0.0,0.0,39.0
03-04,27,0,Southampton,-2.0,0.0,0.0,2.0,0.0,0.0,18.0,7.0,12.0,3.0,7.0,1.0,8.0,20.0,1.0,3.0,0.0,0.0,39.0
